step|id|lat|lon|g|h|name
0|240949599|41.3833411|2.1817741|0.0000000|830.6971347|
1|240949598|41.3832587|2.1816916|0.0114598|830.6866181|
2|240949045|41.3834049|2.1814371|0.0382014|830.6762194|
3|30884403|41.3832725|2.1813190|0.0559166|830.6603694|
4|240943886|41.3831344|2.1811710|0.0756212|830.6420384|
5|240944156|41.3829992|2.1810165|0.0954242|830.6233959|
6|240943256|41.3831083|2.1808512|0.1137916|830.6174205|
7|240943259|41.3830103|2.1807612|0.1270252|830.6055013|
8|240940004|41.3831274|2.1805409|0.1495498|830.5959799|
9|240940059|41.3832456|2.1801721|0.1830084|830.5757558|
10|1400567486|41.3830774|2.1800441|0.2045455|830.5572167|
11|1400567485|41.3829989|2.1799889|0.2144147|830.5488933|
12|30254232|41.3832997|2.1796205|0.2598395|830.5387535|
13|209098453|41.3834940|2.1793472|0.2912510|830.5296442|
14|209098454|41.3833682|2.1791865|0.3106269|830.5110690|
15|209098455|41.3833186|2.1792182|0.3167435|830.5106352|
16|209098457|41.3832640|2.1791987|0.3230290|830.5062152|
17|209098458|41.3832284|2.1791659|0.3278413|830.5018774|
18|209094329|41.3830641|2.1793714|0.3528955|830.5077250|
19|209094327|41.3829554|2.1791024|0.3783861|830.4822418|
20|209093243|41.3827638|2.1787470|0.4148977|830.4459312|
21|30297914|41.3826319|2.1788958|0.4341131|830.4494538|
22|30297915|41.3824935|2.1790169|0.4525227|830.4506112|
23|30297916|41.3823948|2.1790938|0.4652353|830.4507509|
24|209071243|41.3822360|2.1787670|0.4977191|830.4183194|
25|1400693947|41.3822795|2.1787278|0.5035580|830.4178730|
26|30254246|41.3823269|2.1787081|0.5090790|830.4190549|
27|30254247|41.3819671|2.1782645|0.5635802|830.3670900|
28|30254248|41.3816347|2.1781157|0.6025707|830.3380030|
29|30243959|41.3814138|2.1775693|0.6543543|830.2862340|
30|209062090|41.3815385|2.1773838|0.6751340|830.2796534|
31|30243958|41.3817497|2.1770747|0.7100135|830.2688771|
32|209060709|41.3819897|2.1767552|0.7477329|830.2589344|
33|209052523|41.3820193|2.1767123|0.7525954|830.2574550|
34|437528366|41.3820425|2.1766767|0.7565295|830.2561522|
35|437528365|41.3820255|2.1766343|0.7605403|830.2521428|
36|30227488|41.3821360|2.1764390|0.7809480|830.2440726|
37|30227487|41.3816459|2.1758331|0.8552805|830.1731664|
38|30227486|41.3814483|2.1755907|0.8851432|830.1447152|
39|30227485|41.3812572|2.1753493|0.9144208|830.1166944|
40|30227484|41.3811193|2.1751703|0.9358255|830.0961261|
41|30227483|41.3808308|2.1748288|0.9787315|830.0554862|
42|443039333|41.3806423|2.1745975|1.0072227|830.0283407|
43|30646612|41.3805620|2.1744925|1.0197316|830.0163081|
44|104447194|41.3804303|2.1743167|1.0404584|829.9963132|
