step|id|lat|lon|g|h|name
0|240949599|41.3833411|2.1817741|0.0000000|830.6971347|
1|240944785|41.3834757|2.1815058|0.0269269|830.6850971|
2|240936347|41.3835415|2.1813657|0.0407166|830.6785647|
3|240936348|41.3835705|2.1808620|0.0828636|830.6436514|
4|30647274|41.3836083|2.1806473|0.1012625|830.6301707|
5|240939090|41.3836208|2.1805836|0.1067557|830.6262419|
6|30647313|41.3836519|2.1803991|0.1225321|830.6145815|
7|240934220|41.3837093|2.1801158|0.1470143|830.5972085|
8|240934857|41.3837613|2.1798224|0.1721662|830.5788064|
9|240936350|41.3838374|2.1793535|0.2121909|830.5490122|
10|240936351|41.3838725|2.1790549|0.2374068|830.5293036|
11|240936353|41.3838960|2.1788479|0.2548732|830.5155953|
12|30227495|41.3839668|2.1787455|0.2664906|830.5120733|
13|209110229|41.3841106|2.1785409|0.2898796|830.5051654|
14|209110228|41.3838892|2.1782582|0.3239727|830.4724821|
15|209110227|41.3836449|2.1779367|0.3621484|830.4357255|
16|30297907|41.3835070|2.1777387|0.3846873|830.4137800|
17|30646194|41.3832319|2.1774305|0.4246485|830.3762909|
18|209057499|41.3829894|2.1771029|0.4630428|830.3391913|
19|209134967|41.3829146|2.1770053|0.4746826|830.3279978|
20|209137015|41.3826193|2.1766560|0.5185855|830.2864174|
21|209057497|41.3825634|2.1766084|0.5259617|830.2798888|
22|30243957|41.3822783|2.1762778|0.5679829|830.2402256|
23|209132794|41.3821849|2.1760635|0.5886597|830.2195495|
24|209132796|41.3821190|2.1757582|0.6151644|830.1937923|
25|1400545466|41.3820979|2.1756981|0.6207004|830.1882742|
26|209132797|41.3818961|2.1754887|0.6491387|830.1619831|
27|30252199|41.3818500|2.1755157|0.6547379|830.1614011|
28|30252198|41.3817654|2.1752813|0.6764392|830.1397526|
29|30252197|41.3816518|2.1748452|0.7149543|830.1018879|
30|30252196|41.3815952|2.1746175|0.7349671|830.0822672|
31|30252195|41.3814759|2.1741239|0.7782331|830.0399211|
32|30252194|41.3813785|2.1737751|0.8092843|830.0092761|
33|194551073|41.3813096|2.1735154|0.8322663|829.9866586|
34|1400723041|41.3813815|2.1734823|0.8407248|829.9882199|
35|1400723040|41.3813780|2.1734569|0.8428794|829.9861862|
36|1400723038|41.3813207|2.1733309|0.8551720|829.9738979|
37|1400723037|41.3813067|2.1733006|0.8581409|829.9709307|
38|546558623|41.3812925|2.1732738|0.8608782|829.9682062|
39|546558620|41.3812571|2.1731942|0.8685983|829.9604871|
40|546558621|41.3812225|2.1731319|0.8750651|829.9540660|
41|544807066|41.3812162|2.1731168|0.8765066|829.9526246|
42|544807062|41.3812063|2.1730857|0.8793252|829.9498253|
43|1400723031|41.3811858|2.1730538|0.8828295|829.9463841|
44|1400723029|41.3811836|2.1729990|0.8874081|829.9422912|
45|1400723032|41.3812086|2.1729785|0.8906720|829.9421824|
46|30227477|41.3809871|2.1724416|0.9417917|829.8910689|
47|30227476|41.3809415|2.1723092|0.9539463|829.8789612|
48|30227475|41.3809149|2.1722049|0.9631373|829.8699367|
49|442537842|41.3808841|2.1719885|0.9815142|829.8525562|
50|30227474|41.3808738|2.1719532|0.9846742|829.8494304|
51|192551166|41.3808653|2.1719037|0.9889109|829.8453746|
52|30227473|41.3808464|2.1717803|0.9994189|829.8353900|
53|30227472|41.3807455|2.1714139|1.0319827|829.8032767|
54|192082712|41.3806139|2.1709747|1.0714403|829.7641961|
55|432592964|41.3805702|2.1708400|1.0836843|829.7520264|
56|30227035|41.3805642|2.1708008|1.0870223|829.7488548|
57|1514098857|41.3804349|2.1703644|1.1261686|829.7101038|
58|30227469|41.3803781|2.1701726|1.1433724|829.6930741|
59|30227468|41.3802410|2.1696863|1.1867157|829.6502770|
60|30227467|41.3800818|2.1691474|1.2350376|829.6024502|
61|30227466|41.3800008|2.1688237|1.2635075|829.5745280|
62|30227465|41.3798651|2.1684152|1.3007812|829.5374464|
63|96429480|41.3796602|2.1683316|1.3246088|829.5200992|
64|30227464|41.3796455|2.1681797|1.3373875|829.5082805|
65|96429481|41.3795894|2.1680827|1.3476057|829.4981599|
66|30227463|41.3796959|2.1678377|1.3712297|829.4862713|
67|30227462|41.3796427|2.1676042|1.3915900|829.4664178|
68|30227461|41.3795906|2.1674196|1.4080456|829.4501689|
69|30227460|41.3795666|2.1672526|1.4222324|829.4367437|
70|1400544019|41.3795468|2.1670610|1.4383694|829.4217671|
71|1400544018|41.3795163|2.1667248|1.4666245|829.3957216|
72|30884292|41.3795002|2.1663887|1.4947240|829.3704771|
73|30227456|41.3794946|2.1659199|1.5338433|829.3361946|
74|30227454|41.3793573|2.1654796|1.5736258|829.2967206|
75|30227453|41.3792251|2.1650947|1.6089444|829.2615424|
76|30227452|41.3791371|2.1647589|1.6386216|829.2323581|
77|30227451|41.3790308|2.1643048|1.6783105|829.1935923|
78|30227450|41.3789049|2.1638548|1.7183816|829.1540436|
79|30227449|41.3787633|2.1634029|1.7592417|829.1134920|
80|30227448|41.3786470|2.1631904|1.7811869|829.0916834|
81|1043786412|41.3786324|2.1631777|1.7831255|829.0899584|
82|30238199|41.3777744|2.1620792|1.9154237|828.9630684|
83|30238198|41.3769196|2.1609800|2.0475069|828.8363041|
84|30238197|41.3760090|2.1598601|2.1852893|828.7049650|
85|905811229|41.3752865|2.1588448|2.3020417|828.5915713|
86|905811222|41.3752856|2.1585571|2.3260477|828.5706704|
87|905811223|41.3750498|2.1585556|2.3522677|828.5575694|
88|905811221|41.3750331|2.1585556|2.3541247|828.5566493|
89|903233267|41.3750336|2.1566117|2.5163248|828.4157935|
90|30246866|41.3750337|2.1562999|2.5423416|828.3932023|
91|626135660|41.3750613|2.1543194|2.7076241|828.2511991|
92|30298842|41.3750336|2.1540143|2.7332675|828.2275628|
93|899314386|41.3750459|2.1521378|2.8898497|828.0922638|
94|899314388|41.3750713|2.1517690|2.9207519|828.0669409|
95|771231969|41.3750940|2.1500949|3.0604625|827.9468916|
96|26057048|41.3750836|2.1496916|3.0941339|827.9170971|
97|803435598|41.3749431|2.1496861|3.1097635|827.9089501|
98|1193548822|41.3748767|2.1496608|3.1174428|827.9034551|
99|71710025|41.3748130|2.1496204|3.1252871|827.8970150|
100|1193548807|41.3747556|2.1495669|3.1330759|827.8899731|
101|26057052|41.3747121|2.1495110|3.1397955|827.8835239|
102|534633415|41.3746821|2.1494612|3.1451242|827.8782612|
103|26057049|41.3746497|2.1493901|3.1520651|827.8713228|
104|803435595|41.3746134|2.1492540|3.1641174|827.8594597|
105|26057053|41.3746041|2.1491147|3.1757867|827.8488537|
106|168319807|41.3746162|2.1489999|3.1854597|827.8412031|
107|1193548729|41.3746889|2.1487966|3.2042510|827.8304824|
108|26057050|41.3747975|2.1486625|3.2207139|827.8267559|
109|771231898|41.3746795|2.1484734|3.2412353|827.8065469|
110|760332218|41.3742292|2.1479308|3.3087406|827.7423982|
111|178518958|41.3741311|2.1477964|3.3243853|827.7272500|
112|760332200|41.3729757|2.1462899|3.5041288|827.5543751|
113|760332216|41.3728816|2.1461652|3.5188854|827.5401503|
114|760332225|41.3718776|2.1448346|3.6763376|827.3883701|
115|760332206|41.3717612|2.1446804|3.6945883|827.3707780|
116|760332209|41.3712200|2.1439633|3.7794536|827.2889728|
117|760332213|41.3711043|2.1438099|3.7976021|827.2714772|
118|760332211|41.3705082|2.1430092|3.8917177|827.1805869|
119|760332217|41.3701953|2.1425923|3.9409195|827.1331236|
120|760332202|41.3700136|2.1423643|3.9686718|827.1065831|
121|760332222|41.3697135|2.1419667|4.0157287|827.0612241|
122|760332215|41.3689828|2.1409985|4.1303118|826.9507743|
123|760332203|41.3685743|2.1404571|4.1943775|826.8890180|
124|760332148|41.3679238|2.1395951|4.2963890|826.7906860|
125|1121909773|41.3677493|2.1393638|4.3237580|826.7643033|
126|30307945|41.3676730|2.1394513|4.3349517|826.7664383|
127|1477573164|41.3676057|2.1395490|4.3460185|826.7698088|
128|463272130|41.3675324|2.1394409|4.3581762|826.7579338|Magòria-La Campana
129|463272134|41.3615263|2.1309889|5.3295384|825.8142905|Ildefons Cerdà
130|951428771|41.3611087|2.1303865|5.3979767|825.7476107|
131|463272136|41.3571405|2.1246622|6.0483201|825.1139839|Europa-Fira
132|463272139|41.3547603|2.1169028|6.7479516|824.4203068|Gornal
133|1500119405|41.3546732|2.1157912|6.8412372|824.3349256|
134|1118408118|41.3546761|2.1157155|6.8475638|824.3295981|
135|1118396319|41.3546801|2.1156243|6.8551890|824.3232076|
136|1500119409|41.3546898|2.1155219|6.8638038|824.3163194|
137|1066620308|41.3546592|2.1155197|6.8672113|824.3144732|
138|1066620307|41.3505120|2.1150814|7.3298078|824.0541798|
139|1066620306|41.3499917|2.1150117|7.3879543|824.0204693|
140|1118396240|41.3483655|2.1148368|7.5693679|823.9182385|
141|1066620305|41.3446593|2.1144865|7.9825147|823.6888523|
142|1066620303|41.3440447|2.1144632|8.0508828|823.6533506|
143|1066620302|41.3413214|2.1141654|8.3547188|823.4819735|
144|1066620300|41.3407732|2.1140847|8.4160470|823.4459784|
145|1066620299|41.3402222|2.1137813|8.4823447|823.3936708|
146|1066620298|41.3396588|2.1133739|8.5536293|823.3331358|
147|1066620297|41.3391936|2.1129155|8.6179751|823.2742982|
148|1066620294|41.3387878|2.1124236|8.6789881|823.2162946|
149|1066620290|41.3383856|2.1117756|8.7491799|823.1471599|
150|1066620289|41.3380016|2.1109159|8.8326950|823.0636609|
151|1066620285|41.3377041|2.1100665|8.9109462|822.9856635|
152|1066620278|41.3368375|2.1077552|9.1266363|822.7702869|
153|1066620277|41.3358654|2.1046809|9.4051421|822.4937352|
154|1066620271|41.3355335|2.1036869|9.4959682|822.4033515|
155|1066620653|41.3346139|2.1009494|9.7463583|822.1541270|
156|1066620743|41.3336053|2.0979147|10.0234458|821.8784395|
157|1066620742|41.3319436|2.0933158|10.4495734|821.4533218|
158|1066620735|41.3309271|2.0903761|10.7198023|821.1840889|
159|1066620733|41.3299229|2.0874656|10.9872481|820.9176496|
160|1066620731|41.3294878|2.0861567|11.1067693|820.7987348|
161|1066620730|41.3290608|2.0849121|11.2210252|820.6849312|
162|1066620728|41.3280430|2.0819272|11.4947565|820.4123417|
163|1118396194|41.3274722|2.0802696|11.6470267|820.2606569|
164|1066620726|41.3268577|2.0785006|11.8097799|820.0984834|
165|1066620723|41.3247665|2.0723165|12.3761142|819.5346857|
166|1066620721|41.3232759|2.0681430|12.7620324|819.1498226|
167|1066620716|41.3219545|2.0642806|13.1164639|818.7968421|
168|1066620715|41.3201899|2.0592005|13.5838802|818.3311078|
169|1066620713|41.3197387|2.0579345|13.7009056|818.2144118|
170|1066620708|41.3194285|2.0571137|13.7776412|818.1377797|
171|1066620704|41.3193680|2.0568831|13.7980402|818.1177179|
172|1066620702|41.3181553|2.0532996|14.1262851|817.7909490|
173|1066620700|41.3165477|2.0486219|14.5558967|817.3630438|
174|1066620698|41.3141061|2.0414389|15.2143745|816.7074388|
175|1066620696|41.3124944|2.0369113|15.6328360|816.2901845|
176|1066620695|41.3111445|2.0329309|15.9976007|815.9270487|
177|1066620694|41.3092789|2.0274914|16.4970470|815.4296425|
178|1066620692|41.3086301|2.0256139|16.6696644|815.2576877|
179|1066620691|41.3074167|2.0220584|16.9958555|814.9328892|
180|1324546086|41.3054468|2.0163864|17.5178146|814.4128552|
181|1324546035|41.3052348|2.0158865|17.5657658|814.3649047|
182|1324546060|41.3048883|2.0148672|17.6592202|814.2718638|
183|1324546045|41.3046476|2.0141681|17.7234578|814.2078823|
184|1324546074|41.3043020|2.0132526|17.8090431|814.1224191|
185|1324546076|41.3038748|2.0122119|17.9081064|814.0233737|
186|1324546048|41.3036035|2.0115999|17.9674652|813.9640207|
187|1324546044|41.3032079|2.0108144|18.0464608|813.8852268|
188|1324546073|41.3028230|2.0100983|18.1200130|813.8120563|
189|1324546047|41.3025732|2.0096638|18.1657172|813.7667623|
190|1324546051|41.3022490|2.0091206|18.2236698|813.7094801|
191|1324546041|41.3018405|2.0084426|18.2962708|813.6377704|
192|1066620686|41.3015080|2.0078930|18.3552177|813.5795658|
193|1066620685|41.2997806|2.0057172|18.6196601|813.3264646|
194|1066620683|41.2968345|2.0020104|19.0704447|812.8950940|
195|1066620681|41.2957867|2.0006747|19.2317708|812.7404161|
196|1066620680|41.2955247|2.0003367|19.2723427|812.7014483|
197|1066620904|41.2942067|1.9987971|19.4673358|812.5170801|
198|1066620901|41.2915143|1.9953907|19.8803988|812.1214980|
199|1066620894|41.2901318|1.9936312|20.0931005|811.9176219|
200|1066620878|41.2899545|1.9933952|20.1209836|811.8907245|
201|1066620875|41.2886687|1.9918395|20.3142097|811.7069674|
202|1066620872|41.2837187|1.9856436|21.0698317|810.9845464|
203|1066620868|41.2817797|1.9831813|21.3678555|810.6990052|
204|213850148|41.2810736|1.9823152|21.4746368|810.5972422|
205|213850146|41.2798868|1.9809247|21.6504656|810.4309362|
206|213850144|41.2782807|1.9789678|21.8926124|810.2004215|
207|46920795|41.2769270|1.9770494|22.1125159|809.9866025|
208|970923304|41.2746496|1.9742269|22.4585835|809.6562811|
209|970923345|41.2744797|1.9740137|22.4845518|809.6314472|
210|206963838|41.2732293|1.9723859|22.6790699|809.4444145|
211|209145840|41.2717843|1.9706607|22.8949504|809.2395972|
212|46920784|41.2705601|1.9691272|23.0819130|809.0608555|
213|209145274|41.2701006|1.9684892|23.1557622|808.9892338|
214|206963837|41.2694699|1.9674192|23.2694076|808.8768177|
215|206963836|41.2686312|1.9656769|23.4423268|808.7041304|
216|46920757|41.2681409|1.9642692|23.5719965|808.5749171|
217|209178380|41.2679717|1.9636912|23.6238388|808.5236300|
218|206963835|41.2678184|1.9630848|23.6773102|808.4711559|
219|206963834|41.2676377|1.9621320|23.7594392|808.3920191|
220|206963833|41.2674377|1.9604841|23.8989519|808.2613465|
221|46920749|41.2672818|1.9587732|24.0429934|808.1285314|
222|243493995|41.2671124|1.9570942|24.1845807|807.9972936|Platja de Castelldefels
223|206963832|41.2664149|1.9515152|24.6572759|807.5538275|
224|46920701|41.2656184|1.9450260|25.2068287|807.0388760|
225|46920696|41.2645604|1.9365116|25.9281332|806.3625834|
226|206963831|41.2642959|1.9352155|26.0403857|806.2539354|
227|206963830|41.2639281|1.9338165|26.1642637|806.1321213|
228|206963829|41.2629410|1.9307523|26.4429089|805.8552984|
229|279742781|41.2628147|1.9303468|26.4795968|805.8189039|
230|1125509482|41.2625322|1.9294234|26.5629263|805.7363086|
231|1125509538|41.2622938|1.9286309|26.6342747|805.6656457|
232|1125509645|41.2621287|1.9280129|26.6890956|805.6116904|
233|46920686|41.2618726|1.9269917|26.7790779|805.5234560|
234|1125509516|41.2617822|1.9265947|26.8137505|805.4896599|
235|1125509556|41.2610833|1.9235805|27.0774093|805.2323747|
236|1125509693|41.2601857|1.9214123|27.2843088|805.0255024|
237|1125509513|41.2598210|1.9207449|27.3532774|804.9569428|
238|46920679|41.2588105|1.9186421|27.5618934|804.7485790|
239|1125509469|41.2561568|1.9113591|28.2384302|804.0736223|
240|1125509504|41.2560380|1.9106744|28.2971709|804.0173840|
241|1125509534|41.2558587|1.9094139|28.4044097|803.9160297|
242|46920675|41.2557067|1.9081207|28.5138260|803.8138128|
243|528908100|41.2555806|1.9073588|28.5790411|803.7515729|
244|528908099|41.2554077|1.9062296|28.6753731|803.6601020|
245|528908114|41.2552136|1.9050426|28.7769193|803.5632680|
246|528908115|41.2550873|1.9044854|28.8255692|803.5158686|
247|528908120|41.2549111|1.9039472|28.8746407|803.4670902|
248|1125509520|41.2546397|1.9031859|28.9450740|803.3968671|
249|528908098|41.2543159|1.9024404|29.0170473|803.3248943|Garraf
250|1125509551|41.2530864|1.9003533|29.2387040|803.1055497|
251|493876704|41.2519905|1.8981449|29.4599117|802.8847854|
252|46920665|41.2481928|1.8872285|30.4654944|801.8829908|
253|46920658|41.2451898|1.8774772|31.3464860|801.0096294|
254|46920652|41.2429493|1.8675337|32.2143719|800.1645202|
255|46920645|41.2405476|1.8616295|32.7756362|799.6034326|
256|46920641|41.2359799|1.8496545|33.8983861|798.4821830|
257|46920617|41.2358493|1.8409764|34.6241836|797.8457555|
258|46920629|41.2360664|1.8337649|35.2276832|797.3350867|
259|46920613|41.2376931|1.8276442|35.7705045|796.9818626|
260|1422370776|41.2376536|1.8239335|36.0808115|796.7108621|
261|1170456908|41.2374273|1.8202083|36.3933153|796.4284661|
262|46920603|41.2374520|1.8188200|36.5094330|796.3292901|
263|1422370788|41.2378831|1.8164050|36.7169787|796.1783603|
264|420200118|41.2389137|1.8113322|37.1563518|795.8683838|
265|46920597|41.2392491|1.8095981|37.3060677|795.7615131|Sitges
266|420210359|41.2393720|1.8078298|37.4545533|795.6403544|
267|374309863|41.2393670|1.8066465|37.5534958|795.5544274|
