step|id|lat|lon|g|h|name
0|240949599|41.3833411|2.1817741|0.0000000|830.6971347|
1|240944785|41.3834757|2.1815058|0.0269269|830.6850971|
2|240936347|41.3835415|2.1813657|0.0407166|830.6785647|
3|240936348|41.3835705|2.1808620|0.0828636|830.6436514|
4|30647274|41.3836083|2.1806473|0.1012625|830.6301707|
5|240939090|41.3836208|2.1805836|0.1067557|830.6262419|
6|30647313|41.3836519|2.1803991|0.1225321|830.6145815|
7|240934220|41.3837093|2.1801158|0.1470143|830.5972085|
8|240934857|41.3837613|2.1798224|0.1721662|830.5788064|
9|240936350|41.3838374|2.1793535|0.2121909|830.5490122|
10|240936351|41.3838725|2.1790549|0.2374068|830.5293036|
11|240936353|41.3838960|2.1788479|0.2548732|830.5155953|
12|30227495|41.3839668|2.1787455|0.2664906|830.5120733|
13|820938973|41.3839044|2.1786611|0.2763762|830.5025195|
14|820938972|41.3837311|2.1784596|0.3019485|830.4783707|
15|630622793|41.3834777|2.1781631|0.3394431|830.4429251|
16|30227492|41.3833296|2.1779686|0.3625627|830.4206716|
17|630622780|41.3830553|2.1776167|0.4048976|830.3800597|
18|630622788|41.3828410|2.1773238|0.4390295|830.3470284|
19|209057500|41.3828093|2.1773635|0.4438663|830.3481600|
20|209057499|41.3829894|2.1771029|0.4734258|830.3391913|
21|209134967|41.3829146|2.1770053|0.4850656|830.3279978|
22|209137015|41.3826193|2.1766560|0.5289685|830.2864174|
23|209057497|41.3825634|2.1766084|0.5363447|830.2798888|
24|30243957|41.3822783|2.1762778|0.5783659|830.2402256|
25|209132794|41.3821849|2.1760635|0.5990427|830.2195495|
26|209132796|41.3821190|2.1757582|0.6255474|830.1937923|
27|1400545466|41.3820979|2.1756981|0.6310834|830.1882742|
28|209132797|41.3818961|2.1754887|0.6595217|830.1619831|
29|30252199|41.3818500|2.1755157|0.6651209|830.1614011|
30|30252198|41.3817654|2.1752813|0.6868222|830.1397526|
31|30252197|41.3816518|2.1748452|0.7253373|830.1018879|
32|30252196|41.3815952|2.1746175|0.7453501|830.0822672|
33|30252195|41.3814759|2.1741239|0.7886161|830.0399211|
34|30252194|41.3813785|2.1737751|0.8196673|830.0092761|
35|194551073|41.3813096|2.1735154|0.8426493|829.9866586|
36|1400723041|41.3813815|2.1734823|0.8511078|829.9882199|
37|1400723040|41.3813780|2.1734569|0.8532624|829.9861862|
38|1400723038|41.3813207|2.1733309|0.8655550|829.9738979|
39|1400723037|41.3813067|2.1733006|0.8685239|829.9709307|
40|546558623|41.3812925|2.1732738|0.8712612|829.9682062|
41|546558620|41.3812571|2.1731942|0.8789813|829.9604871|
42|546558621|41.3812225|2.1731319|0.8854481|829.9540660|
43|544807066|41.3812162|2.1731168|0.8868896|829.9526246|
44|544807062|41.3812063|2.1730857|0.8897082|829.9498253|
45|1400723031|41.3811858|2.1730538|0.8932125|829.9463841|
46|1400723029|41.3811836|2.1729990|0.8977911|829.9422912|
47|1400723032|41.3812086|2.1729785|0.9010550|829.9421824|
48|30227477|41.3809871|2.1724416|0.9521747|829.8910689|
49|30227476|41.3809415|2.1723092|0.9643293|829.8789612|
50|30227475|41.3809149|2.1722049|0.9735203|829.8699367|
51|442537842|41.3808841|2.1719885|0.9918972|829.8525562|
52|30227474|41.3808738|2.1719532|0.9950572|829.8494304|
53|192551166|41.3808653|2.1719037|0.9992939|829.8453746|
54|30227473|41.3808464|2.1717803|1.0098019|829.8353900|
55|30227472|41.3807455|2.1714139|1.0423657|829.8032767|
56|192082712|41.3806139|2.1709747|1.0818233|829.7641961|
57|432592964|41.3805702|2.1708400|1.0940673|829.7520264|
58|30227035|41.3805642|2.1708008|1.0974053|829.7488548|
59|1514098857|41.3804349|2.1703644|1.1365516|829.7101038|
60|30227469|41.3803781|2.1701726|1.1537554|829.6930741|
61|30227468|41.3802410|2.1696863|1.1970987|829.6502770|
62|30227467|41.3800818|2.1691474|1.2454206|829.6024502|
63|30227466|41.3800008|2.1688237|1.2738905|829.5745280|
64|30227465|41.3798651|2.1684152|1.3111642|829.5374464|
65|96429480|41.3796602|2.1683316|1.3349918|829.5200992|
66|30227464|41.3796455|2.1681797|1.3477705|829.5082805|
67|96429481|41.3795894|2.1680827|1.3579887|829.4981599|
68|30227463|41.3796959|2.1678377|1.3816127|829.4862713|
69|30227462|41.3796427|2.1676042|1.4019730|829.4664178|
70|30227461|41.3795906|2.1674196|1.4184286|829.4501689|
71|30227460|41.3795666|2.1672526|1.4326155|829.4367437|
72|1400544019|41.3795468|2.1670610|1.4487525|829.4217671|
73|1400544018|41.3795163|2.1667248|1.4770075|829.3957216|
74|30884292|41.3795002|2.1663887|1.5051070|829.3704771|
75|30227456|41.3794946|2.1659199|1.5442263|829.3361946|
76|30227454|41.3793573|2.1654796|1.5840088|829.2967206|
77|30227453|41.3792251|2.1650947|1.6193274|829.2615424|
78|30227452|41.3791371|2.1647589|1.6490046|829.2323581|
79|30227451|41.3790308|2.1643048|1.6886936|829.1935923|
80|30227450|41.3789049|2.1638548|1.7287646|829.1540436|
81|30227449|41.3787633|2.1634029|1.7696247|829.1134920|
82|30227448|41.3786470|2.1631904|1.7915699|829.0916834|
83|1043786412|41.3786324|2.1631777|1.7935086|829.0899584|
84|30238199|41.3777744|2.1620792|1.9258067|828.9630684|
85|30238198|41.3769196|2.1609800|2.0578899|828.8363041|
86|30238197|41.3760090|2.1598601|2.1956723|828.7049650|
87|905811229|41.3752865|2.1588448|2.3124247|828.5915713|
88|905811222|41.3752856|2.1585571|2.3364307|828.5706704|
89|905811223|41.3750498|2.1585556|2.3626507|828.5575694|
90|540056271|41.3750494|2.1582348|2.3894185|828.5342969|
91|903233288|41.3750494|2.1566108|2.5249260|828.4165989|
92|903233273|41.3750494|2.1563002|2.5508426|828.3940893|
93|540056269|41.3750494|2.1552651|2.6372119|828.3190756|
94|901550925|41.3750777|2.1543187|2.7162427|828.2520524|
95|901550927|41.3750510|2.1540136|2.7418730|828.2284713|
96|899314398|41.3751161|2.1521353|2.8987664|828.0959532|
97|899314389|41.3751335|2.1517923|2.9274518|828.0720588|
98|771231914|41.3751726|2.1501092|3.0679576|827.9522624|
99|771231969|41.3750940|2.1500949|3.0767786|827.9468916|
100|26057048|41.3750836|2.1496916|3.1104501|827.9170971|
101|803435598|41.3749431|2.1496861|3.1260797|827.9089501|
102|1193548822|41.3748767|2.1496608|3.1337589|827.9034551|
103|71710025|41.3748130|2.1496204|3.1416033|827.8970150|
104|1193548807|41.3747556|2.1495669|3.1493921|827.8899731|
105|26057052|41.3747121|2.1495110|3.1561116|827.8835239|
106|534633415|41.3746821|2.1494612|3.1614403|827.8782612|
107|26057049|41.3746497|2.1493901|3.1683812|827.8713228|
108|803435595|41.3746134|2.1492540|3.1804336|827.8594597|
109|26057053|41.3746041|2.1491147|3.1921028|827.8488537|
110|168319807|41.3746162|2.1489999|3.2017759|827.8412031|
111|1193548729|41.3746889|2.1487966|3.2205671|827.8304824|
112|26057050|41.3747975|2.1486625|3.2370301|827.8267559|
113|771231898|41.3746795|2.1484734|3.2575515|827.8065469|
114|760332218|41.3742292|2.1479308|3.3250567|827.7423982|
115|178518958|41.3741311|2.1477964|3.3407014|827.7272500|
116|760332200|41.3729757|2.1462899|3.5204450|827.5543751|
117|760332216|41.3728816|2.1461652|3.5352015|827.5401503|
118|760332225|41.3718776|2.1448346|3.6926538|827.3883701|
119|760332206|41.3717612|2.1446804|3.7109044|827.3707780|
120|760332209|41.3712200|2.1439633|3.7957698|827.2889728|
121|760332213|41.3711043|2.1438099|3.8139183|827.2714772|
122|760332211|41.3705082|2.1430092|3.9080339|827.1805869|
123|760332217|41.3701953|2.1425923|3.9572356|827.1331236|
124|760332202|41.3700136|2.1423643|3.9849879|827.1065831|
125|760332222|41.3697135|2.1419667|4.0320448|827.0612241|
126|760332215|41.3689828|2.1409985|4.1466279|826.9507743|
127|760332203|41.3685743|2.1404571|4.2106936|826.8890180|
128|760332148|41.3679238|2.1395951|4.3127052|826.7906860|
129|1121909773|41.3677493|2.1393638|4.3400742|826.7643033|
130|1309411136|41.3674500|2.1389732|4.3866582|826.7194958|
131|168318375|41.3651306|2.1358937|4.7507448|826.3684531|
132|365549376|41.3643573|2.1348452|4.8734242|826.2498351|
133|365549379|41.3636629|2.1339110|4.9831523|826.1438503|
134|178534461|41.3630352|2.1330676|5.0822779|826.0481230|
135|365549382|41.3623065|2.1322107|5.1903506|825.9458509|
136|931110867|41.3619419|2.1317487|5.2462996|825.8922693|
137|365549386|41.3610121|2.1305705|5.3889815|825.7556253|
138|931110777|41.3593854|2.1283840|5.6459220|825.5074874|
139|598702099|41.3583628|2.1270263|5.8064520|825.3527178|
140|178534458|41.3576821|2.1261122|5.9139213|825.2489449|
141|365549389|41.3554650|2.1231831|6.2611176|824.9144422|
142|981789378|41.3552955|2.1229540|6.2879668|824.8884944|
143|365549391|41.3546783|2.1221198|6.3857319|824.7940124|
144|365549392|41.3541448|2.1213917|6.4706579|824.7118338|
145|365549394|41.3533488|2.1202669|6.5996872|824.5864324|
146|981789538|41.3531749|2.1200414|6.6266721|824.5605032|
147|365549396|41.3523557|2.1189793|6.7537816|824.4383702|
148|626127161|41.3515241|2.1179010|6.8828231|824.3143796|
149|386785604|41.3508557|2.1166942|7.0080070|824.1900587|
150|693847507|41.3499304|2.1154085|7.1566801|824.0458676|
151|693847478|41.3492563|2.1145239|7.2618984|823.9445964|
152|592155060|41.3483761|2.1133924|7.3979141|823.8140709|
153|592155054|41.3474570|2.1121588|7.5429954|823.6739991|
154|178534457|41.3466821|2.1111054|7.6661084|823.5549358|
155|693847463|41.3463113|2.1106128|7.7243400|823.4987940|
156|330421942|41.3454997|2.1095345|7.8518032|823.3759041|
157|900355295|41.3444586|2.1081751|8.0139131|823.2199913|
158|330421702|41.3433578|2.1067377|8.1853230|823.0551347|
159|760335893|41.3413150|2.1040060|8.5071973|822.7445427|
160|208606457|41.3389244|2.1007920|8.8848987|822.3798216|
161|242934134|41.3378881|2.0993506|9.0515111|822.2182244|
162|178534456|41.3361758|2.0970496|9.3219878|821.9570649|
163|442084611|41.3358738|2.0964794|9.3802462|821.8990786|
164|178534454|41.3356690|2.0960809|9.4205645|821.8588976|
165|242934159|41.3354407|2.0956218|9.4665394|821.8130268|
166|178534453|41.3351120|2.0947807|9.5457063|821.7339164|
167|528703075|41.3346034|2.0932996|9.6816848|821.5984731|
168|178534452|41.3336807|2.0905545|9.9327979|821.3485366|
169|178534451|41.3322371|2.0864394|10.3120339|820.9705365|
170|213383268|41.3319004|2.0854941|10.3993918|820.8834239|
171|178534450|41.3315498|2.0848113|10.4684577|820.8145895|
172|178534449|41.3310110|2.0837518|10.5753007|820.7080664|
173|213362299|41.3304631|2.0828076|10.6749359|820.6094067|
174|213362794|41.3300249|2.0821382|10.7490863|820.5367216|
175|178534448|41.3296059|2.0815373|10.8175563|820.4700628|
176|213404200|41.3293894|2.0811619|10.8570795|820.4309103|
177|178534446|41.3287771|2.0804410|10.9479582|820.3449057|
178|208677743|41.3282401|2.0799094|11.0223614|820.2767803|
179|178534444|41.3276020|2.0793086|11.1092589|820.1980706|
180|213053416|41.3265535|2.0784411|11.2465178|820.0774265|
181|208680744|41.3257521|2.0777980|11.3505595|819.9866651|
182|208674436|41.3243405|2.0767165|11.5316485|819.8305221|
183|208647118|41.3217880|2.0746737|11.8627937|819.5418694|
184|178534443|41.3192675|2.0726653|12.1894132|819.2574954|
185|760335894|41.3175890|2.0713150|12.4074758|819.0672005|
186|667128501|41.3171199|2.0709453|12.4680903|819.0145767|
187|208595100|41.3162881|2.0702792|12.5760227|818.9205007|
188|667128497|41.3158414|2.0699182|12.6341275|818.8697417|
189|208595102|41.3133678|2.0679189|12.9558961|818.5886569|
190|1280480620|41.3115539|2.0664848|13.1904766|818.3848729|
191|1280480545|41.3105170|2.0656512|13.3251659|818.2673839|
192|208595104|41.3102926|2.0654727|13.3542328|818.2420963|
193|208595106|41.3074944|2.0630695|13.7245076|817.9138995|
194|217756792|41.3070623|2.0625134|13.7913366|817.8497836|
195|217756794|41.3061210|2.0613203|13.9358599|817.7114429|
196|217756795|41.3057470|2.0608397|13.9936615|817.6560010|
197|217758568|41.3055859|2.0604363|14.0318230|817.6178541|
198|217758146|41.3055730|2.0602131|14.0505219|817.6009326|
199|217758147|41.3055149|2.0599385|14.0743516|817.5777962|
200|217759439|41.3055085|2.0593806|14.1209582|817.5369196|
201|217759440|41.3055794|2.0589514|14.1576657|817.5096362|
202|217759442|41.3055794|2.0587197|14.1770196|817.4928064|
203|1280617682|41.3055476|2.0585666|14.1902878|817.4799398|
204|217759446|41.3054118|2.0579128|14.2469487|817.4249942|
205|217759450|41.3051017|2.0565352|14.3670749|817.3079053|
206|217759451|41.3049405|2.0558057|14.4305919|817.2460672|
207|217761423|41.3048502|2.0554538|14.4616540|817.2155489|
208|217761425|41.3047535|2.0551276|14.4909465|817.1865458|
209|473483369|41.3046622|2.0548235|14.5183018|817.1594444|
210|473483528|41.3043607|2.0538882|14.6033177|817.0749539|
211|473483455|41.3041641|2.0532702|14.6593780|817.0192704|
212|473483370|41.3039970|2.0528137|14.7017962|816.9769369|
213|214927131|41.3038441|2.0523653|14.7429299|816.9359716|
214|214927130|41.3036888|2.0518336|14.7905829|816.8888243|
215|214927129|41.3034882|2.0509971|14.8639314|816.8170514|
216|214927127|41.3033528|2.0503276|14.9218475|816.7609892|
217|214927126|41.3031787|2.0496667|14.9803501|816.7034259|
218|214927124|41.3027532|2.0480702|15.1218547|816.5641025|
219|473593917|41.3021358|2.0458920|15.3163282|816.3719906|
220|473593916|41.3020253|2.0454957|15.3516394|816.3371385|
221|214927122|41.3010778|2.0419931|15.6626191|816.0307078|
222|214927120|41.3008586|2.0409974|15.7492932|815.9463539|
223|214927119|41.3007801|2.0402253|15.8143791|815.8859708|
224|214927117|41.3006705|2.0389636|15.9204785|815.7883266|
225|214927115|41.3004770|2.0378392|16.0168392|815.6960424|
226|214927114|41.3003094|2.0372212|16.0717254|815.6419540|
227|214927113|41.2999999|2.0363629|16.1512565|815.5626157|
228|214925654|41.2997226|2.0356076|16.2214832|815.4925265|
229|214925790|41.2996323|2.0352386|16.2539026|815.4607682|
230|214924711|41.2996581|2.0350068|16.2734778|815.4453554|
231|214923393|41.2996920|2.0349060|16.2827036|815.4399001|
232|214924714|41.2997033|2.0347922|16.2922928|815.4322583|
233|214923394|41.2996775|2.0346978|16.3006843|815.4239853|
234|214924716|41.2996194|2.0346034|16.3108787|815.4139365|
235|214923395|41.2995485|2.0345433|16.3202253|815.4056744|
236|214925488|41.2994389|2.0344489|16.3347412|815.3927939|
237|214925490|41.2993228|2.0342858|16.3535109|815.3745678|
238|214922962|41.2992197|2.0340884|16.3735947|815.3545658|
239|214922961|41.2987876|2.0327924|16.4920426|815.2367042|
240|214922960|41.2983233|2.0317109|16.5961004|815.1326466|
241|214922959|41.2975173|2.0297540|16.7825339|814.9462363|
242|214922958|41.2953918|2.0242921|17.2964048|814.4327643|
243|214922957|41.2942092|2.0212481|17.5826977|814.1467022|
244|214922956|41.2935514|2.0189136|17.7909971|813.9410187|
245|214922955|41.2932999|2.0180295|17.8699763|813.8629931|
246|1410302886|41.2931434|2.0177097|17.9018616|813.8311648|
247|214922954|41.2930226|2.0174630|17.9264630|813.8066078|
248|1410302885|41.2928623|2.0171902|17.9553967|813.7779828|
249|214922953|41.2923519|2.0163215|18.0475290|813.6868328|
250|214922009|41.2918489|2.0155061|18.1356720|813.5999594|
251|214922100|41.2916812|2.0151628|18.1698826|813.5658083|
252|206190538|41.2916351|2.0148850|18.1936514|813.5431019|
253|206190539|41.2916370|2.0147641|18.2037545|813.5344282|
254|206190540|41.2916078|2.0146574|18.2132420|813.5250747|
255|206190541|41.2915490|2.0145678|18.2231811|813.5153345|
256|206190542|41.2914600|2.0145096|18.2342075|813.5062129|
257|206190543|41.2913961|2.0145000|18.2413580|813.5020007|
258|206190597|41.2912992|2.0143871|18.2556782|813.4884729|
259|206190598|41.2911960|2.0142841|18.2700217|813.4753174|
260|206190599|41.2910670|2.0141381|18.2888511|813.4576205|
261|206190600|41.2909252|2.0139579|18.3106520|813.4367363|
262|206190601|41.2908091|2.0137948|18.3294230|813.4185074|
263|206190979|41.2906414|2.0134515|18.3636340|813.3843559|
264|206190980|41.2905511|2.0132541|18.3829427|813.3650556|
265|206190991|41.2904931|2.0129966|18.4054024|813.3431682|
266|206190992|41.2904286|2.0127305|18.4287630|813.3202988|
267|206190993|41.2904028|2.0124644|18.4511797|813.2995583|
268|206190994|41.2903770|2.0121555|18.4771470|813.2757103|
269|206190995|41.2903447|2.0118980|18.4989586|813.2552369|
270|206190996|41.2902287|2.0114860|18.5357182|813.2189411|
271|206190997|41.2901900|2.0113487|18.5479701|813.2068431|
